Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2011-10-28,19.0,19.25,18.75,18.95,18.9797993181,113214.0,388.0,2148779.0,40547.0,35.81,0.5,-0.05
2011-10-31,18.7,19.8,18.55,19.4,19.1313030545,165396.0,565.0,3164241.0,92248.0,55.77,1.25,0.7
2011-11-01,19.15,19.25,18.85,18.95,19.04980915,74404.0,344.0,1417382.0,31261.0,42.02,0.4,-0.2
2011-11-02,18.5,19.55,18.5,18.85,19.0325142389,98849.0,531.0,1881345.0,30111.0,30.46,1.05,0.35
2011-11-03,18.95,19.15,18.6,18.7,18.7550429311,68016.0,270.0,1275643.0,33136.0,48.72,0.55,-0.25
2011-11-04,18.85,20.15,18.75,19.95,19.6345458063,553057.0,1554.0,10859023.0,247003.0,44.66,1.4,1.1
2011-11-08,20.0,20.0,19.25,19.35,19.4797525026,59637.0,314.0,1161714.0,18996.0,31.85,0.75,-0.65
2011-11-09,19.5,19.5,18.75,18.85,19.0448567716,82351.0,446.0,1568363.0,44060.0,53.5,0.75,-0.65
2011-11-11,19.0,19.1,18.45,18.6,18.7286330337,153976.0,538.0,2883760.0,77410.0,50.27,0.65,-0.4
2011-11-14,19.0,19.0,18.3,18.35,18.5294336165,80758.0,306.0,1496400.0,44727.0,55.38,0.7,-0.65
2011-11-15,18.35,18.5,17.9,17.95,18.0750402857,160727.0,390.0,2905147.0,125866.0,78.31,0.6,-0.4
2011-11-16,18.9,18.9,17.25,17.5,17.5498355218,183915.0,482.0,3227678.0,104468.0,56.8,1.65,-1.4
2011-11-17,17.35,17.35,16.7,16.8,17.0518530618,165294.0,585.0,2818569.0,96565.0,58.42,0.65,-0.55
2011-11-18,16.55,16.75,15.75,16.0,16.0725086592,196611.0,795.0,3160032.0,113325.0,57.64,1.0,-0.55
2011-11-21,15.95,16.2,15.45,15.55,15.87348282,84779.0,386.0,1345738.0,51629.0,60.9,0.75,-0.4
2011-11-22,16.0,16.25,15.45,15.9,15.8732724491,82342.0,394.0,1307037.0,28973.0,35.19,0.8,-0.1
